<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;1;050922;113700;250.7500000;250.7500000;250.5500000;250.5500000;14900
GAZP;1;050922;113800;250.6000000;250.6000000;250.4600000;250.5100000;24120
GAZP;1;050922;113900;250.5000000;250.5000000;250.4100000;250.4100000;13480
GAZP;1;050922;114000;250.4100000;250.4100000;250.3000000;250.3400000;10560
GAZP;1;050922;114100;250.3400000;250.6100000;250.3000000;250.6100000;47230
GAZP;1;050922;114200;250.6500000;250.6500000;250.6000000;250.6500000;6410
GAZP;1;050922;114300;250.6500000;250.9600000;250.6400000;250.9600000;72890
GAZP;1;050922;114400;250.9100000;250.9600000;250.8700000;250.9500000;38220
GAZP;1;050922;114500;250.9500000;250.9500000;250.8700000;250.9200000;23670
GAZP;1;050922;114600;250.9100000;250.9900000;250.8600000;250.9900000;78300
GAZP;1;050922;114700;250.9900000;251.1400000;250.4000000;250.5300000;260050
GAZP;1;050922;114800;250.5200000;250.7500000;250.4500000;250.7000000;21200
GAZP;1;050922;114900;250.7300000;250.8000000;250.5200000;250.6000000;10210
GAZP;1;050922;115000;250.5800000;250.6400000;250.2200000;250.3200000;119440
GAZP;1;050922;115100;250.3200000;250.5100000;250.2900000;250.4600000;34340
GAZP;1;050922;115200;250.4500000;250.4500000;250.2800000;250.2800000;15190
GAZP;1;050922;115300;250.2800000;250.6800000;250.1400000;250.5200000;126780
GAZP;1;050922;115400;250.6000000;250.6200000;250.2000000;250.4000000;31800
GAZP;1;050922;115500;250.4800000;250.7000000;250.4000000;250.5700000;25090
GAZP;1;050922;115600;250.5900000;250.6700000;250.5100000;250.6400000;19480
GAZP;1;050922;115700;250.6300000;250.6400000;250.5000000;250.5500000;27630
GAZP;1;050922;115800;250.5700000;250.6000000;250.5000000;250.5300000;22820
GAZP;1;050922;115900;250.5700000;250.6500000;250.4800000;250.6400000;13220
GAZP;1;050922;120000;250.6400000;250.6700000;250.5700000;250.5900000;6440
GAZP;1;050922;120100;250.6000000;250.6500000;250.5900000;250.5900000;63470
